Position,Company,Location,URL
[한국도로공사&협력사] 솔루션개발 IT 경력5년차 이상 모집,(주)고려소프트웨어,서울송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46227939&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[디버] 서버 / 백엔드 개발자,(주)디버,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46310270&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
백엔드 파트 리더,(주)크리에이트립,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45480550&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
백엔드 엔지니어 (4년 이상),(주)크리에이트립,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44865834&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
(주) 모바휠 개발팀 Back-end 개발 담당자 (경력직) 채용,(주)모바휠,대전유성구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46247434&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
백엔드 엔지니어,(주)로보코리아,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42642673&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[전문연구요원] 백엔드 엔지니어,(주)로보코리아,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42970743&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[IT/엔지니어] Backend Engineer,로버트월터스코리아(주),서울중구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46227427&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
서비스개발팀 팀장,(주)스토어링크,서울중구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46318015&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
프론트 개발(React),(주)챔프스터디,서울서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45933781&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
Backend Engineer,(주)실비아헬스,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46124931&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
데브옵스 엔지니어 (DevOps Engineer),아크리얼(주),서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46136103&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
웹/앱 개발자 채용 (Front/Back-end  Fullstack),(주)슈가폴,서울구로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46236505&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
인사/총무 담당자 모집,주식회사 슬로우패스트,경기고양시 일산동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46272801&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[연구개발 SW EV팀] 백엔드 엔지니어,(주)크로커스,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45704469&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
Senior Software Engineer 채용,팀스파르타(주),서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45969281&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
Software Engineer(산업기능요원 보충역),팀스파르타(주),서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45970622&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[연구개발 SW Energy팀] 백엔드 엔지니어,(주)크로커스,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44055056&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
백엔드 개발자,(주)한국포인트거래소,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44969712&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
